#رقم,مشكول,صنف,أصل,جنس,عدد
928,مَغْلُوبٌ,مفعول,غَلَبَ,مذكر,مفرد
929,مَغْلُوطٌ,مفعول,غَلِطَ,مذكر,مفرد
930,مُغَلَّفٌ,مفعول,غَلَّفَ,مذكر,مفرد
931,مَغْلُوقٌ,مفعول,غَلَقَ,مذكر,مفرد
932,مَغْمُومٌ,مفعول,غَمَّ,مذكر,مفرد
933,مُغَمَّدٌ,مفعول,غَمَّدَ,مذكر,مفرد
934,مَغْمُودٌ,مفعول,غَمَدَ,مذكر,مفرد
935,مَغْمُورٌ,مفعول,غَمَرَ,مذكر,مفرد
936,مَغْمُوزٌ,مفعول,غَمَزَ,مذكر,مفرد
937,مُغَمَّضٌ,مفعول,غَمَّضَ,مذكر,مفرد
938,مُغَيَّبٌ,مفعول,غَيَّبَ,مذكر,مفرد
939,مُغَيَّرٌ,مفعول,غَيَّرَ,مذكر,مفرد
940,مُغَيَّمٌ,مفعول,غَيَّمَ,مذكر,مفرد
941,مُفَتَّتٌ,مفعول,فَتَّتَ,مذكر,مفرد
942,مَفْتُوحٌ,مفعول,فَتَحَ,مذكر,مفرد
943,مَفْتُولٌ,مفعول,فَتَلَ,مذكر,مفرد
944,مَفْتُونٌ,مفعول,فَتَنَ,مذكر,مفرد
945,مَفْجُوعٌ,مفعول,فَجَعَ,مذكر,مفرد
946,مَفْدِيٌّ,مفعول,فَدَى,مذكر,مفرد
947,مَفْرُوشٌ,مفعول,فَرَشَ,مذكر,مفرد
948,مَفْرُوضٌ,مفعول,فَرَضَ,مذكر,مفرد
949,مَفْرُوغٌ,مفعول,فَرَغَ,مذكر,مفرد
950,مُفَرَّقٌ,مفعول,فَرَّقَ,مذكر,مفرد
951,مَفْرُوكٌ,مفعول,فَرَكَ,مذكر,مفرد
952,مَفْرُومٌ,مفعول,فَرَمَ,مذكر,مفرد
953,مُفَسَّرٌ,مفعول,فَسَّرَ,مذكر,مفرد
954,مُفَصَّلٌ,مفعول,فَصَّلَ,مذكر,مفرد
955,مُفَضَّضٌ,مفعول,فَضَّضَ,مذكر,مفرد
956,مُفَضَّلٌ,مفعول,فَضَّلَ,مذكر,مفرد
957,مَفْعُولٌ,مفعول,فَعَلَ,مذكر,مفرد
958,مَفَاعِيلُ,مفعول,فَعَلَ,,جمع
959,مَفْقُودٌ,مفعول,فَقَدَ,مذكر,مفرد
960,مَفْكُوكٌ,مفعول,فَكَّ,مذكر,مفرد
961,مُفَكَّرٌ,مفعول,فَكَّرَ,مذكر,مفرد
962,مُفَكَّكٌ,مفعول,فَكَّكَ,مذكر,مفرد
963,مَفْلُوجٌ,مفعول,فَلِجَ,مذكر,مفرد
964,مَفَاهِيمُ,مفعول,فَهِمَ,,جمع
965,مَفْلُوحٌ,مفعول,فَلَحَ,مذكر,مفرد
966,مُفَلْفَلٌ,مفعول,فَلْفَلَ,مذكر,مفرد
967,مَفْلُوقٌ,مفعول,فَلَقَ,مذكر,مفرد
968,مُفَنَّدٌ,مفعول,فَنَّدَ,مذكر,مفرد
969,مُفَهْرَسٌ,مفعول,فَهْرَسَ,مذكر,مفرد
970,مَفْهُومٌ,مفعول,فَهِمَ,مذكر,مفرد
971,مَفَاهِيمُ,مفعول,فَهِمَ,,جمع
972,مُفَوَّضٌ,مفعول,فَوَّضَ,مذكر,مفرد
973,مُفَوَّهٌ,مفعول,فَوَّهَ,مذكر,مفرد
974,مُقَابَلٌ,مفعول,قَابَلَ,مذكر,مفرد
975,مَقُودٌ,مفعول,قَادَ,مذكر,مفرد
976,مُقَارَنٌ,مفعول,قَارَنَ,مذكر,مفرد
