#رقم,مشكول,صنف,أصل,جنس,عدد
4778,رَاقِطٌ,فاعل,رَقَطَ,مذكر,مفرد
4779,رَاقِعٌ,فاعل,رَقَعَ,مذكر,مفرد
5342,مُتَرَقِّعٌ,فاعل,تَرَقَّعَ,مذكر,مفرد
5343,مُتَرَقِّقٌ,فاعل,تَرَقَّقَ,مذكر,مفرد
6125,مُرَقِّقٌ,فاعل,رَقَّقَ,مذكر,مفرد
33,رَاقِنٌ,فاعل,,مذكر,مفرد
34,رَوَاقِنٌ,فاعل,,,جمع
35,رُقََّانٌ,فاعل,,,جمع
36,رَقَنَةٌ,فاعل,,,جمع
323,مُرْتَقِي,فاعل,اِرْتَقَى,مذكر,مفرد
1949,رَاقِي,فاعل,رَقِيَ,مذكر,مفرد
324,مُرْتَكِبٌ,فاعل,اِرْتَكَبَ,مذكر,مفرد
1962,رَاكِبٌ,فاعل,رَكِبَ,مذكر,مفرد
1963,رُكََّابٌ,فاعل,,,جمع
1964,رَوَاكِبٌ,فاعل,,,جمع
1965,رَكَبَةٌ,فاعل,,,جمع
5344,مُتَرَكِّبٌ,فاعل,تَرَكَّبَ,مذكر,مفرد
6126,مُرْكِبٌ,فاعل,أَرْكَبَ,مذكر,مفرد
1966,رَاكِدٌ,فاعل,رَكَدَ,مذكر,مفرد
1967,رَوَاكِدٌ,فاعل,,,جمع
325,مُرْتَكِزٌ,فاعل,اِرْتَكَزَ,مذكر,مفرد
4780,رَاكِزٌ,فاعل,رَكَزَ,مذكر,مفرد
6099,مُرْتَكِسٌ,فاعل,اِرْتَكَسَ,مذكر,مفرد
4781,رَاكِضٌ,فاعل,رَكَضَ,مذكر,مفرد
5317,مُتَرَاكِضٌ,فاعل,تَرَاكَضَ,مذكر,مفرد
6100,مُرْتَكِضٌ,فاعل,اِرْتَكَضَ,مذكر,مفرد
6127,مُرْكِضٌ,فاعل,أَرْكَضَ,مذكر,مفرد
1968,رَاكِعٌ,فاعل,رَكَعَ,مذكر,مفرد
1969,رَوَامِقٌ,فاعل,,,جمع
1970,رَوَاكِعٌ,فاعل,,,جمع
1971,رُكََّاعٌ,فاعل,,,جمع
1972,رَكَعَةٌ,فاعل,,,جمع
6128,مُرْكِعٌ,فاعل,أَرْكَعَ,مذكر,مفرد
4782,رَاكِلٌ,فاعل,رَكَلَ,مذكر,مفرد
5318,مُتَرَاكِلٌ,فاعل,تَرَاكَلَ,مذكر,مفرد
5345,مُتَرَكِّلٌ,فاعل,تَرَكَّلَ,مذكر,مفرد
4783,رَاكِمٌ,فاعل,رَكَمَ,مذكر,مفرد
5319,مُتَرَاكِمٌ,فاعل,تَرَاكَمَ,مذكر,مفرد
4784,رَاكِنٌ,فاعل,رَكَنَ,مذكر,مفرد
5346,مُتَرَكِّنٌ,فاعل,تَرَكَّنَ,مذكر,مفرد
6129,مُرْكِنٌ,فاعل,أَرْكَنَ,مذكر,مفرد
1973,رَامِحٌ,فاعل,رَمَحَ,مذكر,مفرد
1974,رَوَامِحٌ,فاعل,,,جمع
1975,رُمََّاحٌ,فاعل,,,جمع
1976,رَمَحَةٌ,فاعل,,,جمع
4785,رَامِدٌ,فاعل,رَمَدَ,مذكر,مفرد
6130,مُرْمِدٌ,فاعل,أَرْمَدَ,مذكر,مفرد
4786,رَامِزٌ,فاعل,رَمَزَ,مذكر,مفرد
4787,رَامِسٌ,فاعل,رَمَسَ,مذكر,مفرد
4788,رَامِشٌ,فاعل,رَمَشَ,مذكر,مفرد
1977,رَامِقٌ,فاعل,رَمَقَ,مذكر,مفرد
1978,رُمُقٌ,فاعل,,,جمع
1979,رُهََّابٌ,فاعل,,,جمع
1980,رُمََّاقٌ,فاعل,,,جمع
1981,رَمَقَةٌ,فاعل,,,جمع
6131,مُرَمِّقٌ,فاعل,رَمَّقَ,مذكر,مفرد
4789,رَامِلٌ,فاعل,رَمَلَ,مذكر,مفرد
5347,مُتَرَمِّلٌ,فاعل,تَرَمَّلَ,مذكر,مفرد
1982,مُرَمِّمٌ,فاعل,رَمَّمَ,مذكر,مفرد
5348,مُتَرَمِّمٌ,فاعل,تَرَمَّمَ,مذكر,مفرد
1001,مُتَرَامِي,فاعل,تَرَامَى,مذكر,مفرد
1983,رَامِي,فاعل,رَمى,مذكر,مفرد
1984,رُمَاةٌ,فاعل,,,جمع
1985,رَوَامِي,فاعل,,,جمع
1011,مُتَرَنِّحٌ,فاعل,تَرَنَّحَ,مذكر,مفرد
6132,مُرَنِّحٌ,فاعل,رَنَّحَ,مذكر,مفرد
5349,مُتَرَنِّقٌ,فاعل,تَرَنَّقَ,مذكر,مفرد
